Date,SPY,EEM,VEU,BIL,IAU,TLT,QQQ,VGK
2007-05-30,153.48,42.2,56.33,91.6,12.958,86.54,47.19,76.35
2007-05-31,153.32,42.32,56.62,91.6,13.118,86.38,47.41,76.6
2007-06-01,154.08,43.377,57.17,91.62,13.312,85.59,47.44,77.02
2007-06-04,154.1,43.183,57.28,91.64,13.31,85.98,47.58,77.51
2007-06-05,153.49,43.033,56.94,91.64,13.278,85.44,47.58,76.76
2007-06-06,151.84,41.95,56.14,91.68,13.3,85.4,47.07,75.6
2007-06-07,149.1,41.303,55.15,91.66,13.07,83.87,46.34,73.8
2007-06-08,151.04,42.033,55.98,91.68,12.848,83.8,46.91,74.81
2007-06-11,151.3,42.393,56.06,91.72,12.962,83.56,46.82,74.94
2007-06-12,149.65,41.657,55.2,91.64,12.836,82.35,46.54,73.66
2007-06-13,151.89,42.49,55.96,91.72,12.924,83.33,47.05,74.84
2007-06-14,152.86,43.157,56.37,91.76,12.93,83.12,47.36,75.42
2007-06-15,153.07,44.14,57.17,91.84,12.986,83.69,47.76,76.6
2007-06-18,152.89,44.18,57.26,91.86,13.012,83.52,47.77,76.67
2007-06-19,153.27,44.23,57.22,91.86,13.106,84.3,47.76,77.0
2007-06-20,151.14,43.853,56.73,91.88,12.94,83.62,47.31,76.0
2007-06-21,151.98,44.4,57.29,91.88,12.908,83.22,47.74,76.43
2007-06-22,150.55,43.813,56.43,91.96,12.98,83.76,47.29,75.42
2007-06-25,149.83,43.48,56.24,91.92,12.906,84.22,47.09,75.37
2007-06-26,148.29,43.1,56.21,91.94,12.746,84.24,46.82,75.14
2007-06-27,150.4,43.713,56.61,91.92,12.76,84.32,47.54,75.6
2007-06-28,150.38,43.723,56.61,91.96,12.884,84.3,47.52,75.82
2007-06-29,150.43,43.877,57.0,92.0,12.882,85.17,47.6,76.33
2007-07-02,151.79,44.767,57.42,91.62,13.02,85.29,48.03,77.2
2007-07-03,152.34,45.123,58.06,91.62,12.96,84.77,48.31,77.75
2007-07-05,152.18,45.323,57.99,91.62,12.9,83.82,48.66,77.52
2007-07-06,152.98,46.1,58.39,91.66,13.016,83.48,48.86,78.01
2007-07-09,153.1,46.547,58.78,91.68,13.09,83.78,48.89,78.35
2007-07-10,150.92,45.63,57.97,91.7,13.142,85.2,48.48,77.15
2007-07-11,151.99,46.007,58.45,91.7,13.086,84.32,48.81,78.2
2007-07-12,154.39,47.017,59.54,91.72,13.2,84.03,49.56,79.51
2007-07-13,154.85,47.6,59.51,91.74,13.202,84.26,49.9,79.32
2007-07-16,154.83,47.133,59.3,91.76,13.182,85.07,49.85,78.85
2007-07-17,154.75,47.097,59.42,91.8,13.162,84.89,50.23,78.9
2007-07-18,154.47,46.52,58.99,91.78,13.34,85.21,50.17,78.5
2007-07-19,155.07,46.983,59.42,91.8,13.424,85.19,50.32,78.61
2007-07-20,153.5,46.66,58.79,91.84,13.53,85.96,50.05,77.96
2007-07-23,153.97,48.01,59.55,91.84,13.486,85.82,50.07,78.27
2007-07-24,151.3,46.367,58.58,91.84,13.504,86.14,49.33,76.72
2007-07-25,151.61,46.633,58.29,91.86,13.376,86.31,49.4,76.59
2007-07-26,148.02,44.257,56.33,91.88,13.134,87.03,48.98,74.19
2007-07-27,145.11,43.683,56.75,91.92,13.1,87.28,47.99,72.65
2007-07-30,147.38,45.113,56.62,91.84,13.154,87.03,48.55,73.7
2007-07-31,145.72,44.19,56.34,91.96,13.182,87.66,47.53,74.16
2007-08-01,146.43,44.017,56.37,91.56,13.194,87.13,47.9,74.71
2007-08-02,147.6,44.503,56.36,91.58,13.184,87.35,48.34,74.75
2007-08-03,143.8,42.583,55.0,91.54,13.366,87.93,47.42,73.36
2007-08-06,146.21,43.343,56.02,91.64,13.316,87.29,47.97,74.36
2007-08-07,147.77,43.667,56.09,91.66,13.31,87.22,48.31,74.64
2007-08-08,149.83,45.133,57.04,91.62,13.35,86.16,48.84,76.12
2007-08-09,145.39,43.267,55.05,91.7,13.102,86.28,47.71,73.21
2007-08-10,144.71,42.517,54.6,91.76,13.334,86.08,47.28,72.35
2007-08-13,145.23,42.937,54.5,91.78,13.254,86.33,47.6,72.43
2007-08-14,143.01,41.827,53.85,91.76,13.254,86.56,46.79,71.44
2007-08-15,141.04,40.183,52.51,91.78,13.228,86.25,45.9,69.7
2007-08-16,142.1,39.5,51.76,91.9,12.924,87.14,45.45,69.13
2007-08-17,144.71,40.75,53.08,91.96,13.028,86.79,46.31,70.61
2007-08-20,144.64,40.833,53.21,92.04,13.016,86.84,46.53,70.45
2007-08-21,144.93,40.683,52.9,92.02,13.034,87.26,47.02,70.3
2007-08-22,146.65,42.433,54.42,92.02,13.1,87.12,47.66,72.3
