ISIN,Name,Sector,Asset Class,Weight,Country,Currency
,NVIDIA CORP,Information Technology,Equity,0.0886,United States,USD
,APPLE INC,Information Technology,Equity,0.0713,United States,USD
,MICROSOFT CORP,Information Technology,Equity,0.0575,United States,USD
,AMAZON COM INC,Consumer Discretionary,Equity,0.049,United States,USD
,META PLATFORMS INC CLASS A,Communication Services,Equity,0.036,United States,USD
,ALPHABET INC CLASS A,Communication Services,Equity,0.0353,United States,USD
,TESLA INC,Consumer Discretionary,Equity,0.0352,United States,USD
,BROADCOM INC,Information Technology,Equity,0.0348,United States,USD
,ALPHABET INC CLASS C,Communication Services,Equity,0.0328,United States,USD
,WALMART INC,Consumer Staples,Equity,0.0319,United States,USD
,MICRON TECHNOLOGY INC,Information Technology,Equity,0.0255,United States,USD
,ADVANCED MICRO DEVICES INC,Information Technology,Equity,0.0234,United States,USD
,COSTCO WHOLESALE CORP,Consumer Staples,Equity,0.0225,United States,USD
,NETFLIX INC,Communication Services,Equity,0.0197,United States,USD
,CISCO SYSTEMS INC,Information Technology,Equity,0.0179,United States,USD
,PALANTIR TECHNOLOGIES INC CLASS A,Information Technology,Equity,0.0169,United States,USD
,INTEL CORPORATION CORP,Information Technology,Equity,0.0167,United States,USD
,LAM RESEARCH CORP,Information Technology,Equity,0.0163,United States,USD
,APPLIED MATERIAL INC,Information Technology,Equity,0.0158,United States,USD
,KLA CORP,Information Technology,Equity,0.0118,United States,USD
,LINDE PLC,Materials,Equity,0.0116,United States,USD
,T MOBILE US INC,Communication Services,Equity,0.0108,United States,USD
,PEPSICO INC,Consumer Staples,Equity,0.0107,United States,USD
,TEXAS INSTRUMENT INC,Information Technology,Equity,0.0107,United States,USD
,AMGEN INC,Health Care,Equity,0.0094,United States,USD
,ANALOG DEVICES INC,Information Technology,Equity,0.0092,United States,USD
,GILEAD SCIENCES INC,Health Care,Equity,0.0083,United States,USD
,SHOPIFY SUBORDINATE VOTING INC CLA,Information Technology,Equity,0.0081,Canada,USD
,INTUITIVE SURGICAL INC,Health Care,Equity,0.0081,United States,USD
,BOOKING HOLDINGS INC,Consumer Discretionary,Equity,0.0076,United States,USD
,APPLOVIN CORP CLASS A,Information Technology,Equity,0.0073,United States,USD
,QUALCOMM INC,Information Technology,Equity,0.0073,United States,USD
,PALO ALTO NETWORKS INC,Information Technology,Equity,0.0072,United States,USD
