ISIN,Name,Weight,Sector,Country,Currency,Asset Class
CA13321L1085,CAMECO CORP,0.15517,Energy,Canada,CAD,Equity
US02156V1098,OKLO INC,0.08766,Energy,United States,USD,Equity
CA65340P1062,NEXGEN ENERGY LTD,0.07867,Energy,Canada,CAD,Equity
US9168961038,URANIUM ENERGY CORP,0.0708,Energy,United States,USD,Equity
US63253R2013,NAC KAZATOMPROM JSC-GDR REGS,0.05731,Energy,United States,USD,Equity
CA2926717083,ENERGY FUELS INC,0.05165,Energy,Canada,CAD,Equity
KR7047040001,DAEWOO ENGINEERING & CONSTR,0.04442,Industrials,South Korea,KRW,Equity
AU000000PDN8,PALADIN ENERGY LTD,0.03988,Energy,Australia,AUD,Equity
US15643U1043,CENTRUS ENERGY CORP-CLASS A,0.03597,Energy,United States,USD,Equity
CA2483561072,DENISON MINES CORP,0.03564,Energy,Canada,CAD,Equity
KR7000720003,HYUNDAI ENGINEERING & CONST,0.03103,Industrials,South Korea,KRW,Equity
KR7034020008,DOOSAN ENERBILITY CO LTD,0.02365,Industrials,South Korea,KRW,Equity
AU000000BHP4,BHP GROUP LTD,0.02238,Materials,Australia,AUD,Equity
KR7052690005,KEPCO ENGINEERING & CONSTRUC,0.02223,Industrials,South Korea,KRW,Equity
CA00762V1094,AECON GROUP INC,0.02058,Industrials,Canada,CAD,Equity
US67079K1007,NUSCALE POWER CORP,0.02037,Industrials,United States,USD,Equity
JE00BF50RG45,YELLOW CAKE PLC,0.01954,Energy,Jersey,GBP,Equity
KR7028260008,SAMSUNG C&T CORP,0.01928,Industrials,South Korea,KRW,Equity
KR7006360002,GS ENGINEERING & CONSTRUCT,0.01811,Industrials,South Korea,KRW,Equity
JP3900000005,MITSUBISHI HEAVY INDUSTRIES,0.0172,Industrials,Japan,JPY,Equity
JP3143600009,ITOCHU CORP,0.01689,Industrials,Japan,JPY,Equity
ZAE000259701,SIBANYE STILLWATER LTD,0.0139,Materials,South Africa,ZAR,Equity
KYG2029E1052,CGN MINING CO LTD,0.01336,Energy,Cayman Islands,HKD,Equity
AU000000DYL4,DEEP YELLOW LTD,0.01246,Energy,Australia,AUD,Equity
US63010H1086,NANO NUCLEAR ENERGY INC,0.01095,Energy,United States,USD,Equity
AU000000SLX4,SILEX SYSTEMS LTD,0.0098,Energy,Australia,AUD,Equity
CA91688R1082,UR-ENERGY INC,0.00622,Energy,Canada,CAD,Equity
AU000000BMN9,BANNERMAN ENERGY LTD,0.00552,Energy,Australia,AUD,Equity
,CASH,0.00536,Cash/Derivatives,,,Cash Equivalents
AU000000BOE4,BOSS ENERGY LTD,0.00443,Energy,Australia,AUD,Equity
CA91702V1013,URANIUM ROYALTY CORP,0.0044,Energy,Canada,CAD,Equity
CA46500E8678,ISOENERGY LTD,0.00423,Energy,Canada,CAD,Equity
,CANADIAN DOLLAR,0.00373,Cash/Derivatives,,CAD,Cash Equivalents
CA29259W7008,ENCORE ENERGY CORP,0.00368,Energy,Canada,CAD,Equity
AU0000058737,LOTUS RESOURCES LTD,0.00242,Energy,Australia,AUD,Equity
CA37957M1068,GLOBAL ATOMIC CORP,0.00239,Energy,Canada,CAD,Equity
CA0468241082,ATHA ENERGY CORP,0.00224,Energy,Canada,CAD,Equity
CA58516W1041,MEGA URANIUM LTD,0.0017,Energy,Canada,CAD,Equity
AU000000BKY0,BERKELEY ENERGIA LTD,0.0013,Energy,Australia,AUD,Equity
AU000000AGE2,ALLIGATOR ENERGY LTD,0.0013,Energy,Australia,AUD,Equity
AU000000PEN6,PENINSULA ENERGY LTD,0.00118,Energy,Australia,AUD,Equity
CA51669T1012,LARAMIDE RESOURCES,0.00116,Energy,Canada,CAD,Equity
CA0272592092,AMERICAN LITHIUM CORP,0.00101,Materials,Canada,CAD,Equity
CA13709C1005,CANALASKA URANIUM LTD,0.001,Energy,Canada,CAD,Equity
AU0000156416,ELEVATE URANIUM LTD,0.001,Energy,Australia,AUD,Equity
AU0000433096,ATOMIC EAGLE LTD,0.00081,Energy,Australia,AUD,Equity
AU000000AEE7,AURA ENERGY LTD,0.00075,Energy,Australia,AUD,Equity
CA30336Y1079,F3 URANIUM CORP,0.00074,Energy,Canada,CAD,Equity
,KOREAN WON,0.00071,Cash/Derivatives,,KRW,Cash Equivalents
CA8308166096,SKYHARBOUR RESOURCES LTD,0.00068,Energy,Canada,CAD,Equity
CA03464C2058,ANFIELD ENERGY INC,0.00058,Energy,Canada,CAD,Equity
AU000000ASN8,ANSON RESOURCES LTD,0.00049,Materials,Australia,AUD,Equity
CA34660G1046,FORSYS METALS CORP,0.00044,Energy,Canada,CAD,Equity
CA95985D1006,WESTERN URANIUM & VANADIUM C,0.00034,Energy,Canada,CAD,Equity
