ISIN,Ticker,Name,Weight,Sector,Country,Asset class,Currency
,2330,Taiwan Semiconductor Manufacturing Co Ltd,0.139988,Information Technology,Taiwan,,TWD
,700,Tencent Holdings Ltd,0.039983,Information Technology,Hong Kong,,HKD
,9988,Alibaba Group Holding Ltd,0.028407,Consumer Discretionary,Hong Kong,,HKD
,RELIANCE,Reliance Industries Ltd,0.010091,Energy,India,,INR
,939,China Construction Bank Corp,0.009748,Financials,Hong Kong,,HKD
,HDFCB,HDFC Bank Ltd,0.009125,Financials,India,,INR
,2308,Delta Electronics Inc,0.008716,Industrials,Taiwan,,TWD
,PDD,PDD Holdings Inc,0.008129,Information Technology,United States,,USD
,2317,Hon Hai Precision Industry Co Ltd,0.007475,Information Technology,Taiwan,,TWD
,1810,Xiaomi Corp,0.007318,Communication Services,Hong Kong,,HKD
,1398,Industrial & Commercial Bank of China Ltd,0.007282,Financials,Hong Kong,,HKD
,2454,MediaTek Inc,0.007142,Information Technology,Taiwan,,TWD
,ICICIBC,ICICI Bank Ltd,0.007005,Financials,India,,INR
,VALE3,Vale SA,0.005918,Materials,Brazil,,BRL
,3690,Meituan,0.005896,Information Technology,Hong Kong,,HKD
,RJHI,Al Rajhi Bank,0.005814,Financials,Saudi Arabia,,SAR
,BHARTI,Bharti Airtel Ltd,0.005809,Communication Services,India,,INR
,1211,BYD Co Ltd,0.005171,Consumer Discretionary,Hong Kong,,HKD
,2318,Ping An Insurance Group Co of China Ltd,0.005122,Financials,Hong Kong,,HKD
,ANG,Anglogold Ashanti Plc,0.005053,Materials,South Africa,,ZAR
,ITUB4,Itau Unibanco Holding SA,0.004844,Financials,Brazil,,BRL
,INFO,Infosys Ltd,0.004746,Information Technology,India,,INR
,ARAMCO,Saudi Arabian Oil Co,0.004499,Energy,Saudi Arabia,,SAR
,3988,Bank of China Ltd,0.004492,Financials,Hong Kong,,HKD
,PETR4,Petroleo Brasileiro SA,0.004402,Energy,Brazil,,BRL
,GFI,Gold Fields Ltd,0.004161,Materials,South Africa,,ZAR
,9999,NetEase Inc,0.004146,Consumer Discretionary,Hong Kong,,HKD
,PETR3,Petroleo Brasileiro SA,0.004014,Energy,Brazil,,BRL
,NPN,Naspers Ltd,0.004008,Information Technology,South Africa,,ZAR
,9618,"JD,com Inc",0.003583,Consumer Discretionary,Hong Kong,,HKD
,3711,ASE Technology Holding Co Ltd,0.003496,Information Technology,Taiwan,,TWD
,SNB,Saudi National Bank/The,0.003381,Financials,Saudi Arabia,,SAR
,GFNORTEO,Grupo Financiero Banorte SAB de CV,0.00332,Financials,Mexico,,MXN
,KFH,Kuwait Finance House KSCP,0.003315,Financials,Kuwait,,KWD
,GMEXICOB,Grupo Mexico SAB de CV,0.003196,Materials,Mexico,,MXN
,9888,Baidu Inc,0.003049,Information Technology,Hong Kong,,HKD
,9961,"Trip,com Group Ltd",0.003043,Consumer Discretionary,Hong Kong,,HKD
