ISIN,Name,Asset class,Currency,Weight,Sector,Country
US11135F1012,Broadcom Inc,Equity,USD,0.1035,Information Technology,United States
US5951121038,Micron Technology Inc,Equity,USD,0.0945,Information Technology,United States
US0079031078,Advanced Micro Devices Inc,Equity,USD,0.0944,Information Technology,United States
US8740391003,Taiwan Semiconductor Manufacturing Co L,Equity,USD,0.0914,Information Technology,Taiwan
US67066G1040,Nvidia Corp,Equity,USD,0.091,Information Technology,United States
NL0010273215,Asml Holding Nv,Equity,EUR,0.0871,Information Technology,Netherlands
US5128073062,Lam Research Corp,Equity,USD,0.0617,Information Technology,United States
US0382221051,Applied Materials Inc,Equity,USD,0.0604,Information Technology,United States
US4581401001,Intel Corp,Equity,USD,0.0599,Information Technology,United States
US8825081040,Texas Instruments Inc,Equity,USD,0.0406,Information Technology,United States
US4824801009,Kla Corp,Equity,USD,0.0404,Information Technology,United States
US0326541051,Analog Devices Inc,Equity,USD,0.0351,Information Technology,United States
US7475251036,Qualcomm Inc,Equity,USD,0.0253,Information Technology,United States
US5738741041,Marvell Technology Inc,Equity,USD,0.022,Information Technology,United States
US8716071076,Synopsys Inc,Equity,USD,0.0177,Information Technology,United States
US1273871087,Cadence Design Systems Inc,Equity,USD,0.017,Information Technology,United States
US8807701029,Teradyne Inc,Equity,USD,0.0108,Information Technology,United States
US6098391054,Monolithic Power Systems Inc,Equity,USD,0.0101,Information Technology,United States
NL0009538784,Nxp Semiconductors Nv,Equity,EUR,0.0084,Information Technology,Netherlands
US5950171042,Microchip Technology Inc,Equity,USD,0.0075,Information Technology,United States
US8610121027,Stmicroelectronics Nv,Equity,USD,0.0069,Information Technology,United States
US6821891057,On Semiconductor Corp,Equity,USD,0.0051,Information Technology,United States
US04626A1034,Astera Labs Inc,Equity,USD,0.0046,Information Technology,United States
US29362U1043,Entegris Inc,Equity,USD,0.0035,Information Technology,United States
US83088M1027,Skyworks Solutions Inc,Equity,USD,0.0014,Information Technology,United States
,Other/Cash,Cash Equivalents,USD,-0.0001,Cash/Derivatives,
