ISIN,Name,Asset class,Currency,Weight,Sector,Country
US67066G1040,NVIDIA CORP,EQUITY,USD,0.047921757859872,Information Technology,United States
US0378331005,APPLE INC,EQUITY,USD,0.039329212895267,Information Technology,United States
US5949181045,MICROSOFT CORP,EQUITY,USD,0.0319547359833933,Information Technology,United States
US0231351067,AMAZON.COM INC,EQUITY,USD,0.0245064477609379,Consumer Discretionary,United States
US02079K3059,ALPHABET INC CL A,EQUITY,USD,0.0198338625196019,Communication Services,United States
US11135F1012,BROADCOM INC,EQUITY,USD,0.0192027715375155,Information Technology,United States
US02079K1079,ALPHABET INC CL C,EQUITY,USD,0.0170826823167995,Communication Services,United States
TW0002330008,TAIWAN SEMICONDUCTOR MANUFAC,EQUITY,TWD,0.0160337291069396,Information Technology,Taiwan
US30303M1027,META PLATFORMS INC-CLASS A,EQUITY,USD,0.0148973162556838,Communication Services,United States
US88160R1014,TESLA INC,EQUITY,USD,0.0115033278797337,Consumer Discretionary,United States
US46625H1005,JPMORGAN CHASE & CO,EQUITY,USD,0.00873462367018916,Financials,United States
,,CASH,USD,0.0080814983680529,Empty, 
US5324571083,ELI LILLY & CO,EQUITY,USD,0.00785004372534364,Health Care,United States
KR7005930003,SAMSUNG ELECTRONIC CO LTD,EQUITY,KRW,0.00718910282160989,Information Technology,South Korea
US0846707026,BERKSHIRE HATHAWAY INC-CL B,EQUITY,USD,0.00658961533930391,Financials,United States
US30231G1022,EXXON MOBIL CORP,EQUITY,USD,0.00642317595748332,Energy,United States
US9311421039,WALMART INC,EQUITY,USD,0.00576578514467697,Consumer Staples,United States
NL0010273215,ASML HOLDING NV,EQUITY,EUR,0.00567504492843454,Information Technology,Netherlands
US4781601046,JOHNSON & JOHNSON,EQUITY,USD,0.00560627992808116,Health Care,United States
US92826C8394,VISA INC-CLASS A SHARES,EQUITY,USD,0.00537101505439349,Financials,United States
US5951121038,MICRON TECHNOLOGY INC,EQUITY,USD,0.00518706314405844,Information Technology,United States
US0079031078,ADVANCED MICRO DEVICES INC,EQUITY,USD,0.0047294462660429,Information Technology,United States
KR7000660001,SK HYNIX INC,EQUITY,KRW,0.00460270290903785,Information Technology,South Korea
US22160K1051,COSTCO WHOLESALE CORP,EQUITY,USD,0.0045781677129362,Consumer Staples,United States
US64110L1061,NETFLIX INC USD,EQUITY,USD,0.00434440040030851,Communication Services,United States
KYG875721634,TENCENT HOLDINGS LTD,EQUITY,HKD,0.0042341716026939,Communication Services,China
US57636Q1040,MASTERCARD INC-CL A,EQUITY,USD,0.00419092387977112,Financials,United States
US1491231015,CATERPILLAR INC,EQUITY,USD,0.00385288426136369,Industrials,United States
US00287Y1091,ABBVIE INC,EQUITY,USD,0.0037296871361004,Health Care,United States
US17275R1023,CISCO SYSTEMS INC,EQUITY,USD,0.00364780280484031,Information Technology,United States
US1667641005,CHEVRON CORP,EQUITY,USD,0.00360467697844839,Energy,United States
US4370761029,HOME DEPOT INC,EQUITY,USD,0.00351251130441194,Consumer Discretionary,United States
US0605051046,BANK OF AMERICA CORP,EQUITY,USD,0.00348744708234913,Financials,United States
US7427181091,PROCTER & GAMBLE CO/THE,EQUITY,USD,0.00341344114342815,Consumer Staples,United States
US5128073062,LAM RESEARCH CORP,EQUITY,USD,0.00333127428232692,Information Technology,United States
KYG017191142,ALIBABA GROUP HOLDING LTD,EQUITY,HKD,0.00323928288716013,Consumer Discretionary,China
GB0005405286,HSBC HOLDINGS PLC,EQUITY,GBP,0.00322880579411245,Financials,United Kingdom
US91324P1021,UNITEDHEALTH GROUP INC,EQUITY,USD,0.00321394420372237,Health Care,United States
DE000C70CFW3,MSCI WORLD INDEX (USD.NTR) 06/26 EUREX,FUTURE,USD,0.00321295279521394,Empty,United States
US0382221051,APPLIED MATERIALS INC,EQUITY,USD,0.00320886359233557,Information Technology,United States
US69608A1088,PALANTIR TECHNOLOGIES INC-A,EQUITY,USD,0.00318255041567228,Information Technology,United States
US68389X1054,ORACLE CORP,EQUITY,USD,0.00312950253668743,Information Technology,United States
US3696043013,GENERAL ELECTRIC,EQUITY,USD,0.0031067281730107,Industrials,United States
GB0009895292,ASTRAZENECA GBP,EQUITY,GBP,0.00302910917330239,Health Care,United Kingdom
US4581401001,INTEL CORP,EQUITY,USD,0.00300471775222033,Information Technology,United States
US1912161007,COCA-COLA CO/THE,EQUITY,USD,0.00296919871617229,Consumer Staples,United States
CH1499059983,ROCHE HOLDING AG - GENUSSS CHF,EQUITY,CHF,0.00293560097976793,Health Care,Switzerland
CH0012005267,NOVARTIS AG-REG,EQUITY,CHF,0.00290525072202935,Health Care,Switzerland
US58933Y1055,MERCK & CO. INC.,EQUITY,USD,0.00287857563842677,Health Care,United States
US38141G1040,GOLDMAN SACHS GROUP INC,EQUITY,USD,0.00284489180635889,Financials,United States
US36828A1016,GE VERNOVA INC,EQUITY,USD,0.00276428623335957,Industrials,United States
US9497461015,WELLS FARGO   CO,EQUITY,USD,0.00263821472312312,Financials,United States
GB00BP6MXD84,SHELL PLC GBP,EQUITY,GBP,0.00259504067970752,Energy,United Kingdom
US75513E1010,RTX CORP,EQUITY,USD,0.00258707727781326,Industrials,United States
CA7800871021,ROYAL BANK OF CANADA CAD,EQUITY,CAD,0.00256415020436942,Financials,Canada
CH0038863350,NESTLE SA-REG,EQUITY,CHF,0.00255467627976212,Consumer Staples,Switzerland
US4592001014,INTL BUSINESS MACHINES CORP,EQUITY,USD,0.00245392667771849,Information Technology,United States
US7181721090,PHILIP MORRIS INTERNATIONAL,EQUITY,USD,0.00244780585785087,Consumer Staples,United States
US1729674242,CITIGROUP INC,EQUITY,USD,0.00242908876351256,Financials,United States
US4824801009,KLA CORP,EQUITY,USD,0.0024126888772996,Information Technology,United States
IE000S9YS762,LINDE PLC,EQUITY,USD,0.00237944444689842,Materials,United States
US6174464486,MORGAN STANLEY,EQUITY,USD,0.00236869005263622,Financials,United States
JP3633400001,TOYOTA MOTOR CORP,EQUITY,JPY,0.00223343786705096,Consumer Discretionary,Japan
AU000000CBA7,COMMONWEALTH BANK OF AUSTRALIA,EQUITY,AUD,0.00221138711370925,Financials,Australia
US5801351017,MCDONALD S CORP  COM NPV,EQUITY,USD,0.00220497031872797,Consumer Discretionary,United States
US7134481081,PEPSICO INC,EQUITY,USD,0.00217443767294482,Consumer Staples,United States
US8825081040,TEXAS INSTRUMENTS  COM USD1,EQUITY,USD,0.00216662129299681,Information Technology,United States
DE0007236101,SIEMENS AG-REG,EQUITY,EUR,0.00216640565896352,Industrials,Germany
JP3902900004,MITSUBISHI UFJ FINANCIAL GROUP,EQUITY,JPY,0.00206992557821202,Financials,Japan
AU000000BHP4,BHP GROUP LTD,EQUITY,AUD,0.00203719526298594,Materials,Australia
US8835561023,THERMO FISHER SCIENTIFIC INC,EQUITY,USD,0.00203227149411443,Health Care,United States
US92343V1044,VERIZON COMMUNICATIONS INC,EQUITY,USD,0.00200595011546038,Communication Services,United States
US65339F1012,NEXTERA ENERGY INC,EQUITY,USD,0.00194377469413413,Utilities,United States
US2546871060,WALT DISNEY CO/THE,EQUITY,USD,0.00191287455129174,Communication Services,United States
US0311621009,AMGEN INC,EQUITY,USD,0.00190573976866237,Health Care,United States
US0320951017,AMPHENOL CORP CL-A,EQUITY,USD,0.00188527335595048,Information Technology,United States
US00206R1023,AT&T INC,EQUITY,USD,0.00188432200155533,Communication Services,United States
US0326541051,ANALOG DEVICES INC,EQUITY,USD,0.00188148543497313,Information Technology,United States
DE0007164600,SAP SE / XETRA,EQUITY,EUR,0.00186818949665859,Information Technology,Germany
ES0113900J37,BANCO SANTANDER SA MADRID,EQUITY,EUR,0.00185898022588401,Financials,Spain
US0404132054,ARISTA NETWORKS INC,EQUITY,USD,0.00184116462428533,Information Technology,United States
US0258161092,AMERICAN EXPRESS,EQUITY,USD,0.001841041701895,Financials,United States
CA8911605092,TORONTO-DOMINIO.BANK,EQUITY,CAD,0.00183400098569444,Financials,Canada
FR0000120271,TOTALENERGIES SE PARIS,EQUITY,EUR,0.00183196636114574,Energy,France
US8725401090,TJX COMPANIES INC,EQUITY,USD,0.00181546066322715,Consumer Discretionary,United States
DE0008404005,ALLIANZ SE-REG,EQUITY,EUR,0.00181358517879329,Financials,Germany
FR0000121972,SCHNEIDER ELECT SE,EQUITY,EUR,0.00177902389654951,Industrials,France
US79466L3024,SALESFORCE COM,EQUITY,USD,0.00174801161098302,Information Technology,United States
US0970231058,BOEING CO/THE,EQUITY,USD,0.0017068322373321,Industrials,United States
