Name,ISIN,Sektor,Asset Class,Weight,Currency,Country
Powszechna Kasa Oszczędności Bank Polski SA,PLPKO0000016,Banki,Akcje,0.150317679944314,PLN,Poland
Polski Koncern Naftowy Orlen SA,PLPKN0000018,Paliwa I Gaz,Akcje,0.142497256623539,PLN,Poland
KGHM Polska Miedź SA,PLKGHM000017,Górnictwo,Akcje,0.0910972899277433,PLN,Poland
Bank Polska Kasa Opieki SA,PLPEKAO00016,Banki,Akcje,0.0876284924344302,PLN,Poland
Powszechny Zakład Ubezpieczeń SA,PLPZU0000011,Ubezpieczenia,Akcje,0.0773499572615672,PLN,Poland
LPP SA,PLLPP0000011,Odzież I Kosmetyki,Akcje,0.0608171591275569,PLN,Poland
Santander Bank Polska SA,PLBZ00000044,Banki,Akcje,0.0548529039592452,PLN,Poland
Allegro.eu SA,LU2237380790,Handel Internetowy,Akcje,0.0475361246288187,PLN,Poland
CD Projekt SA,PLOPTTC00011,Gry,Akcje,0.0395482503445817,PLN,Poland
Dino Polska SA,PLDINPL00011,Sieci Handlowe,Akcje,0.0332431121875388,PLN,Poland
mBank SA,PLBRE0000012,Banki,Akcje,0.0329651451583954,PLN,Poland
Zabka Group SA,LU2910446546,Sieci Handlowe,Akcje,0.0258802902596712,PLN,Poland
Alior Bank SA,PLALIOR00045,Banki,Akcje,0.0224720545887465,PLN,Poland
Grupa Kęty SA,PLKETY000011,Hutnictwo,Akcje,0.0220414634654934,PLN,Poland
Tauron Polska Energia SA,PLTAURN00011,Energia,Akcje,0.0208724414959886,PLN,Poland
Budimex SA,PLBUDMX00013,Budownictwo,Akcje,0.0184959738747018,PLN,Poland
PGE Polska Grupa Energetyczna SA,PLPGER000010,Energia,Akcje,0.0181289783048334,PLN,Poland
Kruk SA,PLKRK0000010,Wierzytelności,Akcje,0.0172007503419336,PLN,Poland
Pepco Group N.V.,NL0015000AU7,Sieci Handlowe,Akcje,0.0116205990355677,PLN,Poland
MODIVO SA,PLCCC0000016,Odzież I Kosmetyki,Akcje,0.0100220222093026,PLN,Poland
FW20M2620,PL0GF0033084,Futures,Instrumenty pochodne,0.011932381948116,PLN,Poland
