ISIN,Name,Sector,Asset Class,Weight,Country,Currency
,SANDISK CORP,Information Technology,Equity,0.0121,United States,USD
,USD CASH,Cash/Derivatives,Cash,0.0036,United States,USD
,TECHNIPFMC PLC,Energy,Equity,0.0028,United States,USD
,XPO INC,Industrials,Equity,0.0026,United States,USD
,FABRINET,Information Technology,Equity,0.0024,United States,USD
,ALBEMARLE CORP,Materials,Equity,0.0023,United States,USD
,MASTEC INC,Industrials,Equity,0.0022,United States,USD
,WOODWARD INC,Industrials,Equity,0.0022,United States,USD
,NVENT ELECTRIC PLC,Industrials,Equity,0.0021,United States,USD
,CARPENTER TECHNOLOGY CORP,Industrials,Equity,0.0021,United States,USD
,ATI INC,Industrials,Equity,0.0021,United States,USD
,ROYAL GOLD INC,Materials,Equity,0.0021,United States,USD
,US FOODS HOLDING CORP,Consumer Staples,Equity,0.002,United States,USD
,BWX TECHNOLOGIES INC,Industrials,Equity,0.0019,United States,USD
,MACOM TECHNOLOGY SOLUTIONS INC,Information Technology,Equity,0.0018,United States,USD
,MODERNA INC,Health Care,Equity,0.0018,United States,USD
,FURUKAWA ELECTRIC LTD,Industrials,Equity,0.0018,Japan,JPY
,ITT INC,Industrials,Equity,0.0018,United States,USD
,MKS,Information Technology,Equity,0.0017,United States,USD
,API GROUP CORP,Industrials,Equity,0.0017,United States,USD
,ALCOA CORP,Materials,Equity,0.0017,United States,USD
,RBC BEARINGS INC,Industrials,Equity,0.0017,United States,USD
,VIATRIS INC,Health Care,Equity,0.0016,United States,USD
,WESCO INTERNATIONAL INC,Industrials,Equity,0.0016,United States,USD
,JONES LANG LASALLE INC,Real Estate,Equity,0.0016,United States,USD
,EAST WEST BANCORP INC,Financials,Equity,0.0016,United States,USD
,SOMNIGROUP INTERNATIONAL INC,Consumer Discretionary,Equity,0.0016,United States,USD
,TENET HEALTHCARE CORP,Health Care,Equity,0.0015,United States,USD
,NEXTPOWER INC CLASS A,Industrials,Equity,0.0015,United States,USD
,CLEAN HARBORS INC,Industrials,Equity,0.0015,United States,USD
,LATTICE SEMICONDUCTOR CORP,Information Technology,Equity,0.0015,United States,USD
,ROKU INC CLASS A,Communication Services,Equity,0.0015,United States,USD
,TD SYNNEX CORP,Information Technology,Equity,0.0015,United States,USD
,OVINTIV INC,Energy,Equity,0.0015,United States,USD
,RALPH LAUREN CORP CLASS A,Consumer Discretionary,Equity,0.0014,United States,USD
,HOST HOTELS & RESORTS REIT INC,Real Estate,Equity,0.0014,United States,USD
,RESONAC HOLDINGS,Materials,Equity,0.0014,Japan,JPY
,HUNTINGTON INGALLS INDUSTRIES INC,Industrials,Equity,0.0014,United States,USD
,RENAISSANCERE HOLDING LTD,Financials,Equity,0.0014,United States,USD
,STERLING INFRASTRUCTURE INC,Industrials,Equity,0.0014,United States,USD
,MUELLER INDUSTRIES INC,Industrials,Equity,0.0014,United States,USD
,LINCOLN ELECTRIC HOLDINGS INC,Industrials,Equity,0.0014,United States,USD
,TOLL BROTHERS INC,Consumer Discretionary,Equity,0.0014,United States,USD
,RAMBUS INC,Information Technology,Equity,0.0014,United States,USD
,ONTO INNOVATION INC,Information Technology,Equity,0.0014,United States,USD
,ADVANCED ENERGY INDUSTRIES INC,Information Technology,Equity,0.0013,United States,USD
,AKAMAI TECHNOLOGIES INC,Information Technology,Equity,0.0013,United States,USD
,PERFORMANCE FOOD GROUP,Consumer Staples,Equity,0.0013,United States,USD
,OMEGA HEALTHCARE INVESTORS REIT IN,Real Estate,Equity,0.0013,United States,USD
,MITSUI KINZOKU LIMITED LTD,Materials,Equity,0.0013,Japan,JPY
,REINSURANCE GROUP OF AMERICA INC,Financials,Equity,0.0013,United States,USD
,EVERCORE INC CLASS A,Financials,Equity,0.0013,United States,USD
,ALIGN TECHNOLOGY INC,Health Care,Equity,0.0013,United States,USD
,PERMIAN RESOURCES CORP CLASS A,Energy,Equity,0.0013,United States,USD
,QXO INC,Industrials,Equity,0.0013,United States,USD
,TOPBUILD CORP,Consumer Discretionary,Equity,0.0013,United States,USD
,PLS GROUP LTD,Materials,Equity,0.0013,Australia,AUD
,APA CORP,Energy,Equity,0.0013,United States,USD
,TTM TECHNOLOGIES INC,Information Technology,Equity,0.0013,United States,USD
,REGAL REXNORD CORP,Industrials,Equity,0.0013,United States,USD
,FIVE BELOW INC,Consumer Discretionary,Equity,0.0012,United States,USD
,DT MIDSTREAM INC,Energy,Equity,0.0012,United States,USD
,AVIS BUDGET GROUP INC,Industrials,Equity,0.0012,United States,USD
,SOLSTICE ADVANCED MATERIALS INC,Materials,Equity,0.0012,United States,USD
,EQUITY LIFESTYLE PROPERTIES REIT I,Real Estate,Equity,0.0012,United States,USD
,TALEN ENERGY CORP,Utilities,Equity,0.0012,United States,USD
,GENERAC HOLDINGS INC,Industrials,Equity,0.0012,United States,USD
,ALLY FINANCIAL INC,Financials,Equity,0.0012,United States,USD
,TKO GROUP HOLDINGS INC CLASS A,Communication Services,Equity,0.0012,United States,USD
,STIFEL FINANCIAL CORP,Financials,Equity,0.0012,United States,USD
,ARAMARK,Consumer Discretionary,Equity,0.0012,United States,USD
,UNUM,Financials,Equity,0.0012,United States,USD
,DIPLOMA PLC,Industrials,Equity,0.0012,United Kingdom,GBP
,BJS WHOLESALE CLUB HOLDINGS INC,Consumer Staples,Equity,0.0012,United States,USD
,MODINE MANUFACTURING,Industrials,Equity,0.0012,United States,USD
,GLOBE LIFE INC,Financials,Equity,0.0012,United States,USD
,WEBSTER FINANCIAL CORP,Financials,Equity,0.0012,United States,USD
,FIRST HORIZON CORP,Financials,Equity,0.0012,United States,USD
,NEW YORK TIMES CLASS A,Communication Services,Equity,0.0012,United States,USD
,HASBRO INC,Consumer Discretionary,Equity,0.0012,United States,USD
,PENUMBRA INC,Health Care,Equity,0.0011,United States,USD
,DYCOM INDUSTRIES INC,Industrials,Equity,0.0011,United States,USD
,CAMDEN PROPERTY TRUST REIT,Real Estate,Equity,0.0011,United States,USD
,SERVICE,Consumer Discretionary,Equity,0.0011,United States,USD
,AGNC INVESTMENT REIT CORP,Financials,Equity,0.0011,United States,USD
,HECLA MINING,Materials,Equity,0.0011,United States,USD
,PINNACLE WEST CORP,Utilities,Equity,0.0011,United States,USD
,EXELIXIS INC,Health Care,Equity,0.0011,United States,USD
,SITIME CORP,Information Technology,Equity,0.0011,United States,USD
,CROWN HOLDINGS INC,Materials,Equity,0.0011,United States,USD
,BORGWARNER INC,Consumer Discretionary,Equity,0.0011,United States,USD
,STANLEY BLACK & DECKER INC,Industrials,Equity,0.0011,United States,USD
,GUIDEWIRE SOFTWARE INC,Information Technology,Equity,0.0011,United States,USD
,ADVANCED DRAINAGE SYSTEMS INC,Industrials,Equity,0.0011,United States,USD
,SAIA INC,Industrials,Equity,0.0011,United States,USD
,LAMAR ADVERTISING COMPANY CLAS,Real Estate,Equity,0.0011,United States,USD
,KRATOS DEFENSE AND SECURITY SOLUTI,Industrials,Equity,0.0011,United States,USD
,IONIS PHARMACEUTICALS INC,Health Care,Equity,0.0011,United States,USD
,ASSURANT INC,Financials,Equity,0.0011,United States,USD
,ESSENTIAL UTILITIES INC,Utilities,Equity,0.0011,United States,USD
,MEDPACE HOLDINGS INC,Health Care,Equity,0.0011,United States,USD
,CACI INTERNATIONAL INC CLASS A,Industrials,Equity,0.0011,United States,USD
,BRIDGEBIO PHARMA INC,Health Care,Equity,0.0011,United States,USD
,ENSIGN GROUP INC,Health Care,Equity,0.0011,United States,USD
,DYNATRACE INC,Information Technology,Equity,0.0011,United States,USD
,EASTGROUP PROPERTIES REIT INC,Real Estate,Equity,0.0011,United States,USD
,ENLIGHT RENEWABLE ENERGY LTD,Utilities,Equity,0.0011,Israel,ILS
,ALLISON TRANSMISSION HOLDINGS INC,Industrials,Equity,0.0011,United States,USD
