Name,ISIN,Sector,Asset Class,Currency,Weight,Country
ING Bank Śląski SA,PLBSK0000017,Financials,Akcje,PLN,0.104017923039875,Poland
Benefit Systems SA,PLBNFTS00018,Consumer Discretionary,Akcje,PLN,0.089460808219792,Poland
Bank Millennium SA,PLBIG0000016,Financials,Akcje,PLN,0.0856077072981232,Poland
Asseco Poland SA,PLSOFTB00016,Information Technology,Akcje,PLN,0.0764386748341029,Poland
Orange Polska SA,PLTLKPL00017,Communication Services,Akcje,PLN,0.0687955207614586,Poland
X-Trade Brokers SA,PLXTRDM00011,Financials,Akcje,PLN,0.0638498854948467,Poland
Inter Cars SA,PLINTCS00010,Consumer Discretionary,Akcje,PLN,0.0494566798400954,Poland
Enea SA,PLENEA000013,Energy,Akcje,PLN,0.0469662698491637,Poland
BNP Paribas Bank Polska SA,PLBGZ0000010,Financials,Akcje,PLN,0.0441467541208856,Poland
Develia SA,PLLCCRP00017,Real Estate,Akcje,PLN,0.0351961531826989,Poland
Bank Handlowy w Warszawie SA,PLBH00000012,Financials,Akcje,PLN,0.0289407780532804,Poland
Diagnostyka SA,PLDGNST00012,Health Care,Akcje,PLN,0.0236662217185559,Poland
Cyfrowy Polsat SA,PLCFRPT00013,Communication Services,Akcje,PLN,0.021902619743125,Poland
Dom Development SA,PLDMDVL00012,Real Estate,Akcje,PLN,0.0195535475500337,Poland
Newag SA,PLNEWAG00012,Industrials,Akcje,PLN,0.0179202696289654,Poland
Giełda Papierów Wartościowych w Warszawie SA,PLGPW0000017,Financials,Akcje,PLN,0.0160573546064152,Poland
Rainbow Tours SA,PLRNBWT00031,Consumer Discretionary,Akcje,PLN,0.0144637398401931,Poland
AB SA,PLAB00000019,Industrials,Akcje,PLN,0.014110734199074,Poland
ASBISc Enterprises PLC,CY1000031710,Industrials,Akcje,PLN,0.0137777226135527,Poland
CYBERFLKS SA,PLR220000018,Information Technology,Akcje,PLN,0.0123278090003635,Poland
Asseco South Eastern Europe SA,PLASSEE00014,Information Technology,Akcje,PLN,0.011673019295331,Poland
Auto Partner SA,PLATPRT00018,Consumer Discretionary,Akcje,PLN,0.0116292672789046,Poland
Synektik SA,PLSNKTK00019,Health Care,Akcje,PLN,0.0114383404916541,Poland
Jastrzębska Spółka Węglowa SA,PLJSW0000015,Materials,Akcje,PLN,0.0104539178305138,Poland
Vercom SA,PLVRCM000016,Information Technology,Akcje,PLN,0.00975434217719461,Poland
Neuca SA,PLTRFRM00018,Health Care,Akcje,PLN,0.00956885567372123,Poland
Creotech Instruments SA,PLCRTCH00017,Information Technology,Akcje,PLN,0.00956868417719475,Poland
Wirtualna Polska Holding SA,PLWRTPL00027,Communication Services,Akcje,PLN,0.00797647494328066,Poland
Grupa Pracuj SA,PLGRPRC00015,Communication Services,Akcje,PLN,0.00745252555629216,Poland
Mo-BRUK SA,PLMOBRK00013,Industrials,Akcje,PLN,0.00722287928861658,Poland
Polenergia SA,PLPLSEP00013,Energy,Akcje,PLN,0.00714370998695107,Poland
Polimex-Mostostal SA,PLMSTSD00019,Industrials,Akcje,PLN,0.00690616833705612,Poland
Mirbud SA,PLMRBUD00015,Industrials,Akcje,PLN,0.006317022217016,Poland
Grupa Azoty SA,PLZATRM00012,Materials,Akcje,PLN,0.00617530887135107,Poland
Voxel SA,PLVOXEL00014,Health Care,Akcje,PLN,0.00498766600492705,Poland
Lubawa SA,PLLUBAW00013,Consumer Discretionary,Akcje,PLN,0.00468187897553856,Poland
AmRest Holdings SE,ES0105375002,Consumer Discretionary,Akcje,PLN,0.00460746305492494,Poland
Text SA,PLLVTSF00010,Information Technology,Akcje,PLN,0.00459555930361151,Poland
Ten Square Games SA,PLTSQGM00016,Consumer Discretionary,Akcje,PLN,0.0035350601180348,Poland
Eurocash SA,PLEURCH00011,Consumer Discretionary,Akcje,PLN,0.00321044282917514,Poland
Syn2bio SA,PLSNBIO00013,Health Care,Akcje,PLN,0.000843968706131297,Poland
FW40M25,PL0GF0033738,Cash/Derivatives,Instrumenty pochodne,PLN,0.00324341327293855,Poland
